standard name,Solow p-value
dracaena cantleyi,0.45976692652700407
dracaena elliptica,0.6237810940524197
dracaena granulata,0.01059801733839452
dracaena maingayi,0.17085791116469773
dracaena porteri,0.4999221548431269
dracaena singapurensis,0.8331255327281117
dracaena umbratica,0.9259038993187323
drynaria quercifolia,0.8717137237720481
drynaria sparsisora,0.7029277034120586
drypetes crassipes,0.8819212670525471
drypetes pendula,0.5187671121944327
durio griffithii,0.6301664913261598
durio singaporensis,0.42348391183173356
dyera costulata,0.09679429656571784
dysoxylum acutangulum,0.8887058765428876
dysoxylum alliaceum,0.6030793008320317
dysoxylum carolinae,0.012558485972028953
dysoxylum cauliflorum,0.4300662063843852
dysoxylum cyrtobotryum,0.3255654576106767
dysoxylum densiflorum,0.6039641805386341
dysoxylum excelsum,0.7116935180420935
dysoxylum flavescens,0.29703219906174466
dysoxylum grande,0.7966494783429656
elaeocarpus acmosepalus,0.975770694005355
elaeocarpus ferrugineus,0.30377904834794334
elaeocarpus floribundus,0.40657587880966817
elaeocarpus griffithii,0.9795476269794974
elaeocarpus macrocerus,0.36465681389933974
elaeocarpus mastersii,0.2902057777128858
elaeocarpus nitidus,0.5565604449239347
elaeocarpus obtusus subsp. apiculatus,0.5022819968254988
elaeocarpus palembanicus,0.8511395745924071
elaeocarpus pedunculatus,0.028519439456700043
elaeocarpus petiolatus,0.9453594777204692
elaeocarpus polystachyus,0.15389513894378717
elaeocarpus salicifolius,0.9772782148110589
elaeocarpus stipularis,0.1443878857421047
elaphoglossum amblyphyllum,0.10472470606467826
eleiodoxa conferta,0.91248120720903
eleocharis dulcis,0.14843121776945764
elettariopsis curtisii,0.07372919641080476
ellipanthus tomentosus,0.859461747888526
ellipeia cuneifolia,0.9133057303466309
elytranthe arnottiana,0.225031507539319
embelia canescens,0.5652324681296007
embelia lampanii,0.007671466956448492
embelia ribes,0.20805024772700964
endiandra maingayi,0.8608052103065804
endocomia canarioides,0.829017222735714
endospermum diadenum,0.5347295601916826
engelhardtia serrata,0.12026321226298421
enhalus acoroides,1
enkleia malaccensis,0.6002379562055407
entada rheedii,0.7046160619214746
entada spiralis,1
epipremnum giganteum,0.8817444330137015
epipremnum pinnatum,0.9936618883328636
eragrostis atrovirens,0.6618655661276319
eragrostis cumingii,0.2174103856099508
eragrostis montana,0.9350831843750737
eragrostis unioloides,0.812202024508693
eria javanica,0.049364247053156875
eria longirepens,0.019225359428692492
eria neglecta,0.019225359428692492
eria nutans,0.011752740050575892
eria robusta,0.014463240223811596
eriachne pallescens,0.16315958555016363
eriocaulon truncatum,0.98584851292754
eriocaulon wildenovianum,0.11151095148090401
erycibe festiva,0.8961990269873253
erycibe leucoxyloides,0.3737883493510981
erycibe maingayi,0.01099923903033488
erycibe malaccensis,0.6791862881709659
erycibe tomentosa,0.6690982875858171
erythropalum scandens,0.9684404431616479
erythroxylum cuneatum,0.07393041734772607
etlingera maingayi,0.5294598394296866
etlingera punicea,0.5551334826472433
eulophia spectabilis,0.714909775742171
euonymus javanicus,0.3520815822636838
euphorbia atoto,0.18245623293021565
eurya acuminata,0.7517339320449646
eurycoma longifolia,1
eustachys tenera,0.3306200215431061
euthemis leucocarpa,0.19408817754673208
evolvulus alsinoides,0.019225359428692492
excoecaria agallocha,0.011141482476163578
fagraea auriculata,0.9779918036521361
fagraea fragrans,1
fagraea ridleyi,0.0006026488013335906
fagraea splendens,0.9230348502105706
fernandoa adenophylla,0.7120990116254702
fibraurea tinctoria,0.07869549686681969
ficus annulata,0.0633757942062405
ficus apiocarpa,0.6262585698167985
ficus aurata,0.1954027234468784
ficus binnendijkii,0.9244985294680645
ficus botryocarpa,0.018862156495088638
ficus bracteata,0.02403829521960589
ficus caulocarpa,0.3042397841350051
ficus chartacea,0.9607613270266734
ficus consociata,0.252015497323528
ficus crassiramea,0.5282152107716033
ficus delosyce,0.9926083941762036
ficus deltoidea,0.2845008839374946
ficus dubia,0.0002788106847325388
ficus fistulosa,1
ficus glandulifera,0.8773584054549758
ficus globosa,0.7408925427917927
ficus grossularioides,0.43251789085212605
ficus heteropleura,0.05548190022671542
ficus kerkhovenii,0.2278739954225015
ficus laevis,0.3146722265159007
ficus lamponga,0.10241526314249506
ficus microcarpa,0.37833196107461914
ficus microsyce,0.8187855112521607
ficus obscura var. borneensis,0.9767677743230114
ficus pallescens,0.002526813798957368
ficus pellucidopunctata,0.9823093059735658
ficus pisocarpa,0.5750063984782073
ficus punctata,0.39209062751193313
ficus recurva var. ribesioides,0.8717137237720481
ficus retusa,0.7171414999849176
ficus sagittata,0.8142377111860086
ficus scortechinii,0.8310340680725642
ficus sinuata,0.8594280566794574
ficus subgelderi,0.05059790350867809
ficus sumatrana,0.003615346949816933
ficus sundaica,0.9317783597859587
ficus superba,1
ficus trichocarpa,0.5868220108068878
